origin,destination,distance_meters,duration_seconds,duration_in_traffic_seconds,departure_time,delay
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1754,2024-09-02 17:22:03,-534
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2037,2024-09-02 18:22:03,-251
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1813,2024-09-02 19:22:03,-475
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1835,2024-09-02 20:22:03,-453
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1924,2024-09-02 21:22:03,-364
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1735,2024-09-02 22:22:03,-553
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1306,2024-09-02 23:22:03,-982
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1508,2024-09-02 00:22:03,-780
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1649,2024-09-02 01:22:03,-639
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2124,2024-09-02 02:22:03,-164
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2690,2024-09-02 03:22:03,402
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2989,2024-09-02 04:22:03,701
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2869,2024-09-02 05:22:03,581
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2583,2024-09-02 06:22:03,295
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2793,2024-09-02 07:22:03,505
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2791,2024-09-02 08:22:03,503
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3080,2024-09-02 09:22:03,792
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2883,2024-09-02 10:22:03,595
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3038,2024-09-02 11:22:03,750
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3179,2024-09-02 12:22:03,891
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3639,2024-09-02 13:22:03,1351
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3177,2024-09-02 14:22:03,889
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2412,2024-09-02 15:22:03,124
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2220,2024-09-02 16:22:03,-68
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1421,2024-09-02 17:22:03,-489
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1711,2024-09-02 18:22:03,-199
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1488,2024-09-02 19:22:03,-422
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1742,2024-09-02 20:22:03,-168
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1411,2024-09-02 21:22:03,-499
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1325,2024-09-02 22:22:03,-585
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1215,2024-09-02 23:22:03,-695
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1326,2024-09-02 00:22:03,-584
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1399,2024-09-02 01:22:03,-511
